k_hMpc,T_stage3_dictionary,T_v183_clipped,P_suppression_stage3,P_suppression_v183
0.01053972561082922,0.999993215248102,1.0,0.9999864305422369,1.0
0.010759732925926219,0.9999929290447199,1.0,0.9999858581394383,1.0
0.010984332696318863,0.9999926307685102,1.0,0.999985261591326,1.0
0.01121362078539077,0.9999923199102244,1.0,0.9999846398794326,1.0
0.011447695057587654,0.9999919959391339,1.0,0.9999839919423328,1.0
0.011686655420187726,0.9999916583021254,1.0,0.9999833166738348,1.0
0.01193060386594399,0.999991306422757,1.0,0.9999826129210924,1.0
0.012179644516616642,0.9999909397002714,1.0,0.9999818794826318,1.0
0.012433883667414217,0.9999905575085747,1.0,0.99998111510631,1.0
0.012693429832362338,0.9999901591951654,1.0,0.9999803184871723,1.0
0.012958393790619544,0.9999897440800203,1.0,0.9999794882652244,1.0
0.013228888633759915,0.9999893114544361,1.0,0.9999786230231174,1.0
0.013505029814042658,0.9999888605798184,1.0,0.9999777212837234,1.0
0.013786935193689316,0.999988390686421,1.0,0.9999767815076182,1.0
0.014074725095189535,0.9999879009720337,1.0,0.9999758020904539,1.0
0.014368522352656976,0.9999873906006116,1.0,0.9999747813602201,1.0
0.014668452364257206,0.99998685870085,1.0,0.9999737175743938,1.0
0.014974643145729974,0.9999863043646965,1.0,0.9999726089169634,1.0
0.015287225385028755,0.9999857266458019,1.0,0.9999714534953323,1.0
0.015606332498100764,0.9999851245579056,1.0,0.9999702493370899,1.0
0.015932100685831414,0.9999844970731522,1.0,0.9999689943866451,1.0
0.016264668992177392,0.9999838431203389,1.0,0.9999676865017226,1.0
0.016604179363513206,0.999983161583086,1.0,0.9999663234497043,1.0
0.016950776709216603,0.9999824512979342,1.0,0.9999649029038253,1.0
0.017304608963518528,0.9999817110523583,1.0,0.9999634224392022,1.0
0.017665827148644283,0.9999809395826988,1.0,0.9999618795286972,1.0
0.018034585439272596,0.9999801355720067,1.0,0.9999602715386089,1.0
0.018411041228340287,0.9999792976477968,1.0,0.999958595724181,1.0
0.018795355194220525,0.9999784243797057,1.0,0.9999568492249189,1.0
0.019187691369303313,0.9999775142770533,1.0,0.9999550290597143,1.0
0.019588217210007634,0.9999765657862986,1.0,0.9999531321217595,1.0
0.019997103668254957,0.9999755772883916,1.0,0.9999511551732521,1.0
0.020414525264434713,0.9999745470960103,1.0,0.9999490948398709,1.0
0.020840660161892895,0.9999734734506849,1.0,0.9999469476050276,1.0
0.02127569024297546,0.9999723545197973,1.0,0.9999447098038671,1.0
0.021719801186659136,0.9999711883934566,1.0,0.9999423776170218,1.0
0.022173182547802702,0.9999699730812429,1.0,0.9999399470641017,1.0
0.02263602783805252,0.999968706508813,1.0,0.9999374139969085,1.0
0.023108534608436922,0.9999673865143632,1.0,0.9999347740923659,1.0
0.02359090453368474,0.9999660108449445,1.0,0.9999320228451517,1.0
0.024083343498303787,0.9999645771526215,1.0,0.9999291555600213,1.0
0.02458606168445623,0.9999630829904698,1.0,0.9999261673438051,1.0
0.025099273661668302,0.9999615258084052,1.0,0.999923053097074,1.0
0.025623198478412542,0.9999599029488376,1.0,0.9999198075054487,1.0
0.026158059755601853,0.9999582116421415,1.0,0.9999164250305498,1.0
0.026704085782035,0.9999564490019358,1.0,0.9999128999005611,1.0
0.027261509611834607,0.9999546120201651,1.0,0.9999092261003989,1.0
0.027830569163918985,0.9999526975619761,1.0,0.9999053973614729,1.0
0.028411507323550373,0.9999507023603744,1.0,0.9999014071510061,1.0
0.02900457204600297,0.9999486230106602,1.0,0.9998972486609154,1.0
0.029610016462394802,0.9999464559646289,1.0,0.9998929147962217,1.0
0.03022809898772886,0.9999441975245268,1.0,0.9998883981629698,1.0
0.030859083431189458,0.999941843836754,1.0,0.9998836910556473,1.0
0.03150323910874091,0.9999393908853027,1.0,0.9998787854440702,1.0
0.03216084095807667,0.9999368344849187,1.0,0.9998736729597196,1.0
0.032832169655967816,0.9999341702739762,1.0,0.9998683448815053,1.0
0.033517511738061195,0.9999313937070542,1.0,0.9998627921209319,1.0
0.03421715972117816,0.999928500047197,1.0,0.9998570052066373,1.0
0.03493141222816625,0.9999254843578571,1.0,0.9998509742682952,1.0
