y_keff_inv,y_Mpc_over_h,A_y,dA_dy
0.9409409409409409,0.6272939606272939,0.9667903435342615,1.0274597450569938
0.950950950950951,0.6339673006339673,0.977075224694209,1.0274595107192168
0.960960960960961,0.6406406406406406,0.987360103508862,1.0274592764552664
0.970970970970971,0.6473139806473139,0.9976449799787811,1.0274590422421954
0.980980980980981,0.6539873206539873,1.007929854104381,1.027458808057137
0.990990990990991,0.6606606606606606,1.018214725885857,1.027458573877347
1.001001001001001,0.6673340006673341,1.0284995953230853,1.0274583396802455
1.011011011011011,0.6740073406740074,1.0387844624158555,1.0274581054432945
1.021021021021021,0.6806806806806808,1.0490693271635965,1.0274578711441336
1.031031031031031,0.6873540206873541,1.0593541895655927,1.027457636760467
1.0410410410410411,0.6940273606940274,1.0696390496209158,1.0274574022700946
1.0510510510510511,0.7007007007007008,1.0799239073283242,1.0274571676509505
1.0610610610610611,0.7073740407073741,1.0902087626864934,1.0274569328810002
1.0710710710710711,0.7140473807140474,1.1004936156937464,1.0274566979383473
1.0810810810810811,0.7207207207207208,1.1107784663482603,1.0274564628011469
1.0910910910910911,0.7273940607273941,1.1210633146480107,1.0274562274476289
1.1011011011011012,0.7340674007340674,1.1313481605906588,1.0274559918561217
1.1111111111111112,0.7407407407407408,1.1416330041737888,1.0274557560049815
1.1211211211211212,0.7474140807474141,1.1519178453946377,1.027455519872664
1.1311311311311312,0.7540874207540874,1.162202684250297,1.0274552834376636
1.1411411411411412,0.7607607607607608,1.1724875207376615,1.0274550466785282
1.1511511511511512,0.7674341007674341,1.1827723548533156,1.0274548095738745
1.1611611611611612,0.7741074407741074,1.1930571865937676,1.0274545721023396
1.1711711711711712,0.7807807807807808,1.2033420159551826,1.0274543342426274
1.1811811811811812,0.7874541207874541,1.2136268429335821,1.027454095973466
1.1911911911911912,0.7941274607941274,1.2239116675247939,1.0274538572736176
1.2012012012012012,0.8008008008008008,1.2341964897243363,1.0274536181218878
1.2112112112112112,0.8074741408074741,1.2444813095276528,1.027453378497092
1.2212212212212212,0.8141474808141475,1.2547661269298487,1.027453138378082
1.2312312312312312,0.8208208208208209,1.265050941925882,1.0274528977437216
1.2412412412412412,0.8274941608274942,1.275335754510523,1.0274526565728914
1.2512512512512513,0.8341675008341675,1.2856205646782315,1.0274524148444868
1.2612612612612613,0.8408408408408409,1.2959053724233915,1.0274521725374066
1.2712712712712713,0.8475141808475142,1.3061901777400544,1.0274519296305582
1.2812812812812813,0.8541875208541875,1.3164749806221194,1.027451686102847
1.2912912912912913,0.8608608608608609,1.3267597810633023,1.0274514419331786
1.3013013013013013,0.8675342008675342,1.3370445790570056,1.0274511971004476
1.3113113113113113,0.8742075408742075,1.347329374596559,1.027450951583548
1.3213213213213213,0.8808808808808809,1.3576141676749565,1.027450705361349
1.3313313313313313,0.8875542208875542,1.3678989582850403,1.0274504584127115
1.3413413413413413,0.8942275608942275,1.3781837464194704,1.0274502107164776
1.3513513513513513,0.9009009009009009,1.3884685320705912,1.0274499622514548
1.3613613613613613,0.9075742409075742,1.398753315230672,1.0274497129964424
1.3713713713713713,0.9142475809142475,1.4090380958916493,1.0274494629301918
1.3813813813813813,0.9209209209209209,1.4193228740453026,1.0274492120314296
1.3913913913913913,0.9275942609275942,1.42960764968323,1.027448960278853
1.4014014014014013,0.9342676009342675,1.4398924227967123,1.0274487076510983
1.4114114114114114,0.9409409409409409,1.4501771933769523,1.0274484541267879
1.4214214214214214,0.9476142809476142,1.4604619614148184,1.0274481996844715
1.4314314314314314,0.9542876209542875,1.470746726901021,1.027447944302663
1.4414414414414414,0.960960960960961,1.4810314898260872,1.027447687959831
1.4514514514514514,0.9676343009676343,1.4913162501802204,1.0274474306343613
1.4614614614614614,0.9743076409743076,1.5016010079535491,1.0274471723046201
1.4714714714714714,0.980980980980981,1.5118857631358609,1.0274469129488764
1.4814814814814814,0.9876543209876543,1.5221705157167835,1.0274466525453503
1.4914914914914914,0.9943276609943276,1.5324552656857602,1.0274463910722067
1.5015015015015014,1.0010010010010009,1.5427400130319036,1.0274461285075018
1.5115115115115114,1.0076743410076743,1.5530247577442506,1.0274458648292681
1.5215215215215214,1.0143476810143477,1.563309499811496,1.0274456000154177
1.5315315315315314,1.0210210210210209,1.5735942392221647,1.0274453340438012
1.5415415415415414,1.0276943610276943,1.583878975964599,1.027445066892202
1.5515515515515514,1.0343677010343677,1.594163710026805,1.0274447985382733
1.5615615615615615,1.041041041041041,1.6044484413967082,1.0274445289596361
1.5715715715715715,1.0477143810477143,1.6147331700618883,1.0274442581337726
