k_hMpc,P_LCDM,P_convA,P_convB,T_k,dsigma2_dlnk
1.090208032048122004e-04,4.582549387745552281e+02,4.582549387745552281e+02,4.582549387745552281e+02,1.000000000000000000e+00,3.008191497520632244e-11
1.093980932233646952e-04,4.597841946926219521e+02,4.597841946926219521e+02,4.597841946926219521e+02,1.000000000000000000e+00,3.049674495428338152e-11
1.097766889354537842e-04,4.613185482720514869e+02,4.613185482720514869e+02,4.613185482720514869e+02,1.000000000000000000e+00,3.091729511203474841e-11
1.101565948597137406e-04,4.628580163308216697e+02,4.628580163308216697e+02,4.628580163308216697e+02,1.000000000000000000e+00,3.134364423714830843e-11
1.105378155304165836e-04,4.644026157411839222e+02,4.644026157411839222e+02,4.644026157411839222e+02,1.000000000000000000e+00,3.177587229300668966e-11
1.109203554975261125e-04,4.659523634299316655e+02,4.659523634299316655e+02,4.659523634299316655e+02,1.000000000000000000e+00,3.221406036664771822e-11
1.113042193267522523e-04,4.675072763785763641e+02,4.675072763785763641e+02,4.675072763785763641e+02,1.000000000000000000e+00,3.265829055632583515e-11
1.116894115996056161e-04,4.690673716235124289e+02,4.690673716235124289e+02,4.690673716235124289e+02,1.000000000000000000e+00,3.310864618875922588e-11
1.120759369134520674e-04,4.706326662561968988e+02,4.706326662561968988e+02,4.706326662561968988e+02,1.000000000000000000e+00,3.356521173763751788e-11
1.124637998815676489e-04,4.722031774233072952e+02,4.722031774233072952e+02,4.722031774233072952e+02,1.000000000000000000e+00,3.402807280108916748e-11
1.128530051331936733e-04,4.737789223269367653e+02,4.737789223269367653e+02,4.737789223269367653e+02,1.000000000000000000e+00,3.449731610901413170e-11
1.132435573135919362e-04,4.753599182247431258e+02,4.753599182247431258e+02,4.753599182247431258e+02,1.000000000000000000e+00,3.497302977516161520e-11
1.136354610841000784e-04,4.769461824301424144e+02,4.769461824301424144e+02,4.769461824301424144e+02,1.000000000000000000e+00,3.545530287869037243e-11
1.140287211221874492e-04,4.785377323124682789e+02,4.785377323124682789e+02,4.785377323124682789e+02,1.000000000000000000e+00,3.594422589958167346e-11
1.144233421215107126e-04,4.801345852971621184e+02,4.801345852971621184e+02,4.801345852971621184e+02,1.000000000000000000e+00,3.643989045181321746e-11
1.148193287919699275e-04,4.817367588679413757e+02,4.817367588679413757e+02,4.817367588679413757e+02,1.000000000000000000e+00,3.694238953825245386e-11
1.152166858597648179e-04,4.833442706610815094e+02,4.833442706610815094e+02,4.833442706610815094e+02,1.000000000000000000e+00,3.745181735094846065e-11
1.156154180674510837e-04,4.849571385072485441e+02,4.849571385072485441e+02,4.849571385072485441e+02,1.000000000000000000e+00,3.796826946920482699e-11
