r_M5,V_r,dV_dr,d2V_dr2
1.464128256513026,-6.522856698687142,-0.8122244488977955,-1.75
1.4675350701402807,-6.525633951589741,-0.8181863727454912,-1.75
1.4709418837675352,-6.528431515655749,-0.8241482965931866,-1.75
1.4743486973947897,-6.531249390885165,-0.8301102204408819,-1.75
1.4777555110220442,-6.534087577277991,-0.8360721442885772,-1.75
1.4811623246492989,-6.536946074834226,-0.842034068136273,-1.75
1.4845691382765533,-6.5398248835538695,-0.8479959919839684,-1.75
1.4879759519038078,-6.5427240034369225,-0.8539579158316637,-1.75
1.4913827655310623,-6.545643434483384,-0.859919839679359,-1.75
1.4947895791583168,-6.5485831766932545,-0.8658817635270544,-1.75
1.4981963927855713,-6.551543230066534,-0.8718436873747497,-1.75
1.5016032064128257,-6.554523594603222,-0.877805611222445,-1.75
1.5050100200400802,-6.55752427030332,-0.8837675350701404,-1.75
1.5084168336673347,-6.560545257166827,-0.8897294589178357,-1.75
1.5118236472945894,-6.5635865551937425,-0.8956913827655315,-1.75
1.5152304609218439,-6.566648164384067,-0.9016533066132268,-1.75
1.5186372745490984,-6.569730084737801,-0.9076152304609222,-1.75
1.5220440881763528,-6.572832316254943,-0.9135771543086175,-1.75
1.5254509018036073,-6.575954858935495,-0.9195390781563129,-1.75
1.5288577154308618,-6.579097712779455,-0.9255010020040082,-1.75
1.5322645290581163,-6.582260877786824,-0.9314629258517035,-1.75
1.535671342685371,-6.585444353957603,-0.9374248496993992,-1.75
1.5390781563126255,-6.58864814129179,-0.9433867735470945,-1.75
1.54248496993988,-6.591872239789387,-0.9493486973947899,-1.75
1.5458917835671344,-6.595116649450392,-0.9553106212424852,-1.75
1.549298597194389,-6.598381370274806,-0.9612725450901806,-1.75
1.5527054108216434,-6.601666402262629,-0.9672344689378759,-1.75
1.5561122244488979,-6.604971745413862,-0.9731963927855712,-1.75
1.5595190380761526,-6.608297399728503,-0.9791583166332669,-1.75
1.562925851703407,-6.611643365206554,-0.9851202404809623,-1.75
1.5663326653306615,-6.615009641848013,-0.9910821643286576,-1.75
1.569739478957916,-6.618396229652881,-0.9970440881763529,-1.75
1.5731462925851705,-6.621803128621158,-1.0030060120240483,-1.75
1.576553106212425,-6.625230338752845,-1.0089679358717436,-1.75
1.5799599198396794,-6.62867786004794,-1.014929859719439,-1.75
1.583366733466934,-6.632145692506444,-1.0208917835671343,-1.75
1.5867735470941886,-6.635633836128357,-1.02685370741483,-1.75
1.590180360721443,-6.6391422909136795,-1.0328156312625254,-1.75
1.5935871743486976,-6.642671056862411,-1.0387775551102207,-1.75
1.596993987975952,-6.64622013397455,-1.044739478957916,-1.75
1.6004008016032065,-6.649789522250099,-1.0507014028056114,-1.75
1.603807615230461,-6.6533792216890575,-1.0566633266533068,-1.75
1.6072144288577155,-6.656989232291425,-1.062625250501002,-1.75
1.6106212424849702,-6.660619554057201,-1.0685871743486979,-1.75
1.6140280561122247,-6.664270186986386,-1.0745490981963932,-1.75
1.6174348697394791,-6.66794113107898,-1.0805110220440886,-1.75
1.6208416833667336,-6.6716323863349825,-1.086472945891784,-1.75
1.624248496993988,-6.675343952754394,-1.0924348697394792,-1.75
1.6276553106212426,-6.679075830337216,-1.0983967935871746,-1.75
1.631062124248497,-6.682828019083446,-1.10435871743487,-1.75
1.6344689378757518,-6.686600518993084,-1.1103206412825655,-1.75
1.6378757515030062,-6.690393330066133,-1.1162825651302608,-1.75
1.6412825651302607,-6.6942064523025895,-1.1222444889779561,-1.75
1.6446893787575152,-6.698039885702455,-1.1282064128256515,-1.75
1.6480961923847697,-6.70189363026573,-1.1341683366733468,-1.75
1.6515030060120242,-6.705767685992414,-1.1401302605210422,-1.75
1.6549098196392786,-6.709662052882507,-1.1460921843687375,-1.75
1.6583166332665331,-6.713576730936008,-1.1520541082164328,-1.75
1.6617234468937878,-6.7175117201529195,-1.1580160320641286,-1.75
1.6651302605210423,-6.721467020533239,-1.163977955911824,-1.75
1.6685370741482968,-6.725442632076968,-1.1699398797595193,-1.75
1.6719438877755513,-6.729438554784106,-1.1759018036072146,-1.75
1.6753507014028057,-6.733454788654652,-1.18186372745491,-1.75
1.6787575150300602,-6.737491333688608,-1.1878256513026053,-1.75
1.6821643286573147,-6.741548189885973,-1.1937875751503007,-1.75
1.6855711422845694,-6.745625357246746,-1.1997494989979964,-1.75
1.6889779559118239,-6.749722835770929,-1.2057114228456918,-1.75
1.6923847695390783,-6.753840625458521,-1.211673346693387,-1.75
1.6957915831663328,-6.7579787263095215,-1.2176352705410824,-1.75
1.6991983967935873,-6.762137138323931,-1.2235971943887778,-1.75
1.7026052104208418,-6.766315861501749,-1.2295591182364731,-1.75
1.7060120240480963,-6.770514895842977,-1.2355210420841685,-1.75
1.709418837675351,-6.7747342413476135,-1.2414829659318642,-1.75
1.7128256513026054,-6.778973898015659,-1.2474448897795596,-1.75
1.71623246492986,-6.783233865847113,-1.253406813627255,-1.75
1.7196392785571144,-6.7875141448419765,-1.2593687374749503,-1.75
1.7230460921843689,-6.79181473500025,-1.2653306613226456,-1.75
1.7264529058116234,-6.796135636321931,-1.271292585170341,-1.75
1.7298597194388778,-6.800476848807021,-1.2772545090180363,-1.75
1.7332665330661323,-6.804838372455521,-1.2832164328657316,-1.75
1.736673346693387,-6.809220207267429,-1.2891783567134274,-1.75
1.7400801603206415,-6.813622353242747,-1.2951402805611227,-1.75
1.743486973947896,-6.818044810381473,-1.301102204408818,-1.75
1.7468937875751505,-6.822487578683608,-1.3070641282565134,-1.75
1.750300601202405,-6.826950658149152,-1.3130260521042088,-1.75
1.7537074148296594,-6.831434048778106,-1.318987975951904,-1.75
1.757114228456914,-6.8359377505704675,-1.3249498997995994,-1.75
1.7605210420841686,-6.840461763526239,-1.330911823647295,-1.75
1.763927855711423,-6.8450060876454195,-1.3368737474949903,-1.75
1.7673346693386776,-6.849570722928009,-1.3428356713426857,-1.75
1.770741482965932,-6.854155669374007,-1.348797595190381,-1.75
1.7741482965931865,-6.858760926983414,-1.3547595190380763,-1.75
1.777555110220441,-6.86338649575623,-1.3607214428857717,-1.75
1.7809619238476955,-6.868032375692455,-1.366683366733467,-1.75
1.7843687374749502,-6.8726985667920895,-1.3726452905811628,-1.75
1.7877755511022047,-6.877385069055133,-1.3786072144288581,-1.75
1.7911823647294591,-6.882091882481585,-1.3845691382765535,-1.75
1.7945891783567136,-6.886819007071446,-1.3905310621242488,-1.75
1.797995991983968,-6.891566442824716,-1.3964929859719442,-1.75
1.8014028056112226,-6.896334189741395,-1.4024549098196395,-1.75
1.804809619238477,-6.901122247821483,-1.4084168336673348,-1.75
1.8082164328657315,-6.90593061706498,-1.4143787575150302,-1.75
1.8116232464929862,-6.910759297471886,-1.420340681362726,-1.75
1.8150300601202407,-6.915608289042201,-1.4263026052104213,-1.75
1.8184368737474952,-6.920477591775925,-1.4322645290581166,-1.75
1.8218436873747497,-6.925367205673058,-1.438226452905812,-1.75
1.8252505010020041,-6.9302771307336,-1.4441883767535073,-1.75
1.8286573146292586,-6.935207366957551,-1.4501503006012026,-1.75
1.832064128256513,-6.94015791434491,-1.456112224448898,-1.75
1.8354709418837678,-6.945128772895679,-1.4620741482965935,-1.75
1.8388777555110223,-6.950119942609858,-1.4680360721442889,-1.75
1.8422845691382768,-6.955131423487444,-1.4739979959919842,-1.75
1.8456913827655312,-6.96016321552844,-1.4799599198396796,-1.75
1.8490981963927857,-6.965215318732845,-1.485921843687375,-1.75
1.8525050100200402,-6.970287733100658,-1.4918837675350702,-1.75
1.8559118236472947,-6.975380458631881,-1.4978456913827656,-1.75
1.8593186372745494,-6.980493495326513,-1.5038076152304614,-1.75
1.8627254509018039,-6.985626843184554,-1.5097695390781567,-1.75
1.8661322645290583,-6.990780502206004,-1.515731462925852,-1.75
1.8695390781563128,-6.995954472390863,-1.5216933867735474,-1.75
1.8729458917835673,-7.0011487537391295,-1.5276553106212427,-1.75
1.8763527054108218,-7.006363346250806,-1.533617234468938,-1.75
1.8797595190380763,-7.011598249925892,-1.5395791583166334,-1.75
1.883166332665331,-7.016853464764387,-1.5455410821643292,-1.75
1.8865731462925854,-7.022128990766291,-1.5515030060120245,-1.75
1.88997995991984,-7.027424827931603,-1.5574649298597198,-1.75
1.8933867735470944,-7.032740976260325,-1.5634268537074152,-1.75
1.8967935871743489,-7.038077435752455,-1.5693887775551105,-1.75
1.9002004008016034,-7.043434206407994,-1.5753507014028059,-1.75
1.9036072144288578,-7.048811288226943,-1.5813126252505012,-1.75
1.9070140280561123,-7.054208681209301,-1.5872745490981965,-1.75
1.910420841683367,-7.059626385355068,-1.5932364729458923,-1.75
1.9138276553106215,-7.065064400664243,-1.5991983967935877,-1.75
1.917234468937876,-7.070522727136828,-1.605160320641283,-1.75
1.9206412825651304,-7.076001364772821,-1.6111222444889783,-1.75
1.924048096192385,-7.0815003135722225,-1.6170841683366737,-1.75
1.9274549098196394,-7.087019573535034,-1.623046092184369,-1.75
1.9308617234468939,-7.092559144661255,-1.6290080160320644,-1.75
1.9342685370741486,-7.098119026950885,-1.6349699398797601,-1.75
1.937675350701403,-7.103699220403922,-1.6409318637274555,-1.75
1.9410821643286575,-7.10929972502037,-1.6468937875751508,-1.75
1.944488977955912,-7.114920540800226,-1.6528557114228462,-1.75
1.9478957915831665,-7.120561667743491,-1.6588176352705415,-1.75
1.951302605210421,-7.1262231058501655,-1.6647795591182368,-1.75
1.9547094188376755,-7.131904855120249,-1.6707414829659322,-1.75
