y_keff_inv,y_Mpc_over_h,r_y,dr_dy,m_r_eff_hMpc
1.0710710710710711,0.7140473807140474,1.0097223909775983,0.008392876610142808,1.984313483298443
1.0810810810810811,0.7207207207207208,1.0098064217875846,0.008396543849141028,1.984313483298443
1.0910910910910911,0.7273940607273941,1.009890491241971,0.008400597029098093,1.984313483298443
1.1011011011011012,0.7340674007340674,1.0099746031897843,0.008405034360167507,1.984313483298443
1.1111111111111112,0.7407407407407408,1.0100587614735468,0.008409854062556307,1.984313483298443
1.1211211211211212,0.7474140807474141,1.010142969907506,0.008415054400660722,1.984313483298443
1.1311311311311312,0.7540874207540874,1.0102272322944088,0.008420633657418191,1.984313483298443
1.1411411411411412,0.7607607607607608,1.01031155242118,0.008426590140577906,1.984313483298443
1.1511511511511512,0.7674341007674341,1.0103959340506434,0.00843292219689247,1.984313483298443
1.1611611611611612,0.7741074407741074,1.010480380939654,0.00843962818270658,1.984313483298443
1.1711711711711712,0.7807807807807808,1.0105648968190564,0.008446706496629272,1.984313483298443
1.1811811811811812,0.7874541207874541,1.0106494854089167,0.008454155555352796,1.984313483298443
1.1911911911911912,0.7941274607941274,1.0107341504149059,0.008461973799074173,1.984313483298443
1.2012012012012012,0.8008008008008008,1.010818895520349,0.008470159705676937,1.984313483298443
1.2112112112112112,0.8074741408074741,1.010903724403111,0.008478711762207058,1.984313483298443
1.2212212212212212,0.8141474808141475,1.01098864071721,0.008487628496152831,1.984313483298443
1.2312312312312312,0.8208208208208209,1.0110736481066003,0.008496908452648241,1.984313483298443
1.2412412412412412,0.8274941608274942,1.011158750202187,0.008506550199104668,1.984313483298443
1.2512512512512513,0.8341675008341675,1.0112439506142359,0.008516552339365414,1.984313483298443
1.2612612612612613,0.8408408408408409,1.0113292529480304,0.008526913486036262,1.984313483298443
1.2712712712712713,0.8475141808475142,1.0114146607870833,0.00853763229044145,1.984313483298443
1.2812812812812813,0.8541875208541875,1.0115001777055461,0.008548707421133393,1.984313483298443
1.2912912912912913,0.8608608608608609,1.0115858072657904,0.008560137567789622,1.984313483298443
1.3013013013013013,0.8675342008675342,1.0116715530112088,0.008571921455325223,1.984313483298443
1.3113113113113113,0.8742075408742075,1.0117574184806672,0.008584057817045694,1.984313483298443
1.3213213213213213,0.8808808808808809,1.0118434071932436,0.008596545423344695,1.984313483298443
